Kingdom	Phylum	Class	Order	Family	Genus	ASV	sample_demo	sample1	sample2	sample3	sample4	sample5	sample6
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	ASV_195	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	ASV_196	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Melissococcus	ASV_197	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	W5053	ASV_198	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ASV_199	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA	ASV_200	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	ASV_201	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	ASV_202	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	ASV_203	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	ASV_204	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	ASV_205	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ASV_206	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	ASV_207	0	0	0	0	0	0	0
