"sample","n","c","Sorensen_beta","Kingdom","Phylum","Class","Order","Family","Genus","Genus_count","genus_richness","total_count","proportion_genus","pi_lnpi","Shannon_alpha"
"Sample_test",3,3,0.214285714285714,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",50000,3,150000,0.333333333333333,-0.366204096222703,1.09861228866811
"Sample_test",3,3,0.214285714285714,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",50000,3,150000,0.333333333333333,-0.366204096222703,1.09861228866811
"Sample_test",3,3,0.214285714285714,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",50000,3,150000,0.333333333333333,-0.366204096222703,1.09861228866811
"Sample_average",NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",28257.49999633,25,121121.499991999,0.233298794996732,-0.339551293521573,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",6696.66666667,25,121121.499991999,0.0552888353191825,-0.160071367085666,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",12269.83333,25,121121.499991999,0.101301860782855,-0.231945856077423,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella",19.16666667,25,121121.499991999,0.00015824330669011,-0.00138484680191535,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",7345,25,121121.499991999,0.0606415871706113,-0.169964685934236,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",131.3333333,25,121121.499991999,0.00108431065755193,-0.0074023837428408,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",3003.1666667,25,121121.499991999,0.0247946621111725,-0.0916690119311836,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",5.833333333,25,121121.499991999,4.81610063728185e-05,-0.000478766679365868,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridioides",2.833333333,25,121121.499991999,2.33924888082394e-05,-0.000249436343974936,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",18357.5,25,121121.499991999,0.151562687063921,-0.285961803679354,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",17335,25,121121.499991999,0.14312075066066,-0.278236270385175,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",12349.666666663,25,121121.499991999,0.101960978583313,-0.232793748047045,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",2.833333333,25,121121.499991999,2.33924888082394e-05,-0.000249436343974936,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus",4993.333333,25,121121.499991999,0.0412258214547363,-0.131456384592715,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rosenbergiella",7576.833333,25,121121.499991999,0.0625556431640997,-0.173385402823193,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",29,25,121121.499991999,0.000239429003124265,-0.00199618032373809,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia",1014.333333,25,121121.499991999,0.00837451099158287,-0.0400516229949758,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus",983.1666667,25,121121.499991999,0.00811719361768923,-0.0390743095996139,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",13.83333333,25,121121.499991999,0.000114210386520261,-0.00103674116483739,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1",17.5,25,121121.499991999,0.000144483019126712,-0.00127756921785495,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",81.16666667,25,121121.499991999,0.000670126003024745,-0.00489731085110986,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus",270,25,121121.499991999,0.00222916658081212,-0.0136115753476743,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia",351.3333333,25,121121.499991999,0.00290066861228773,-0.0169480672137906,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",0.666666667,25,121121.499991999,5.50411501710298e-06,-6.66549130000527e-05,2.22480857335371
"Sample_average",NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",14,25,121121.499991999,0.000115586415301369,-0.00104784773747799,2.22480857335371
